         415831 function calls (410937 primitive calls) in 33.015 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.015    1.015    1.015    1.015 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:679(_init_gcs_client)
    20400    0.867    0.000    0.867    0.000 {method 'encode' of 'ImagingEncoder' objects}
      105    0.699    0.007    0.699    0.007 {built-in method numpy.array}
       50    0.040    0.001    0.669    0.013 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/io/ffmpeg_writer.py:132(write_frame)
      150    0.001    0.000    0.635    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/util/tracing/tracing_helper.py:297(_invocation_remote_span)
      150    0.012    0.000    0.633    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/remote_function.py:255(_remote)
      150    0.002    0.000    0.591    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/remote_function.py:397(invocation)
      150    0.528    0.004    0.579    0.004 {method 'submit_task' of 'ray._raylet.CoreWorker' objects}
       50    0.524    0.010    0.524    0.010 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.505    0.505 /Users/armaan/Desktop/Fall-2023 Classes/Cloud-Computing/ECE-465-Cloud-Computing/ray_cluster_mandelbrot_solver/helpers.py:74(<listcomp>)
  310/114    0.002    0.000    0.351    0.003 <frozen importlib._bootstrap>:1165(_find_and_load)
   209/13    0.001    0.000    0.350    0.027 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   155/11    0.001    0.000    0.346    0.031 <frozen importlib._bootstrap>:666(_load_unlocked)
   122/11    0.001    0.000    0.346    0.031 <frozen importlib._bootstrap_external>:934(exec_module)
   428/22    0.000    0.000    0.342    0.016 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   138/11    0.004    0.000    0.336    0.031 {built-in method builtins.exec}
        2    0.000    0.000    0.321    0.160 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/utils.py:1522(check_dashboard_dependencies_installed)
        1    0.000    0.000    0.317    0.317 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/dashboard/optional_deps.py:1(<module>)
    33/24    0.000    0.000    0.220    0.009 {built-in method builtins.__import__}
  302/223    0.001    0.000    0.218    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      105    0.188    0.002    0.188    0.002 {method 'join' of 'bytes' objects}
      102    0.000    0.000    0.162    0.002 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/PngImagePlugin.py:912(load_prepare)
      102    0.001    0.000    0.162    0.002 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/ImageFile.py:292(load_prepare)
      102    0.161    0.002    0.161    0.002 {built-in method PIL._imaging.new}
      204    0.001    0.000    0.127    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/plugins/pillow.py:122(close)
        1    0.000    0.000    0.125    0.125 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/__init__.py:1(<module>)
      102    0.000    0.000    0.125    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/core/v3_plugin_api.py:366(__exit__)
      204    0.119    0.001    0.122    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/Image.py:540(close)
        1    0.000    0.000    0.113    0.113 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/client.py:1(<module>)
        1    0.000    0.000    0.106    0.106 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:430(wait_for_node)
       50    0.104    0.002    0.104    0.002 {method 'tobytes' of 'numpy.ndarray' objects}
    33/11    0.000    0.000    0.091    0.008 <frozen importlib._bootstrap_external>:1239(exec_module)
    33/11    0.029    0.001    0.091    0.008 {built-in method _imp.exec_dynamic}
      122    0.002    0.000    0.080    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
      102    0.002    0.000    0.063    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/core/imopen.py:15(imopen)
     2756    0.061    0.000    0.061    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.060    0.060 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http.py:1(<module>)
      122    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
  155/154    0.000    0.000    0.053    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        7    0.002    0.000    0.052    0.007 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/subprocess.py:807(__init__)
        7    0.002    0.000    0.049    0.007 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/subprocess.py:1789(_execute_child)
        6    0.001    0.000    0.049    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:704(start_ray_process)
       33    0.000    0.000    0.048    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
       33    0.046    0.001    0.047    0.001 {built-in method _imp.create_dynamic}
      478    0.006    0.000    0.042    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.036    0.036 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_parser.py:1(<module>)
2342/2203    0.004    0.000    0.035    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:352(inner)
      209    0.003    0.000    0.035    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.034    0.034 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web.py:1(<module>)
       56    0.001    0.000    0.033    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/proglog/proglog.py:231(__call__)
        7    0.032    0.005    0.032    0.005 {built-in method posix.read}
      102    0.001    0.000    0.031    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/plugins/pillow.py:66(__init__)
      900    0.004    0.000    0.031    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:482(serialize)
        1    0.000    0.000    0.031    0.031 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/grpc/__init__.py:1(<module>)
        1    0.000    0.000    0.029    0.029 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/prometheus_client/__init__.py:1(<module>)
        1    0.000    0.000    0.028    0.028 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_app.py:1(<module>)
      209    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      209    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
       28    0.000    0.000    0.027    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:1489(wrap)
      256    0.003    0.000    0.027    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:76(dumps)
      400    0.004    0.000    0.027    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:433(_serialize_to_msgpack)
      470    0.004    0.000    0.027    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/PngImagePlugin.py:921(load_read)
      166    0.000    0.000    0.026    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:225(compile)
      181    0.001    0.000    0.026    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:272(_compile)
      414    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
      102    0.002    0.000    0.025    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/core/request.py:216(__init__)
       61    0.000    0.000    0.025    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:738(compile)
        1    0.001    0.001    0.024    0.024 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1424(start_ray_processes)
        1    0.000    0.000    0.024    0.024 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:514(canonicalize_bootstrap_address)
        1    0.000    0.000    0.024    0.024 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:381(get_ray_address_from_environment)
        1    0.000    0.000    0.024    0.024 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:370(find_gcs_addresses)
        1    0.001    0.001    0.024    0.024 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:277(_find_address_from_flag)
      204    0.002    0.000    0.022    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/Image.py:3189(open)
      256    0.000    0.000    0.020    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:731(dump)
        3    0.000    0.000    0.020    0.007 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:721(deserialize_objects)
        3    0.000    0.000    0.020    0.007 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:393(deserialize_objects)
      256    0.005    0.000    0.020    0.000 {function CloudPickler.dump at 0x125fcb1a0}
      122    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.020    0.020 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/helpers.py:1(<module>)
      150    0.000    0.000    0.020    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:263(_deserialize_object)
        1    0.000    0.000    0.019    0.019 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_websocket.py:1(<module>)
      122    0.019    0.000    0.019    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.018    0.018 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/tracing.py:1(<module>)
1797/1198    0.001    0.000    0.018    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_psosx.py:343(wrapper)
        1    0.000    0.000    0.018    0.018 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/prometheus_client/exposition.py:1(<module>)
     1040    0.018    0.000    0.018    0.000 {built-in method posix.stat}
      102    0.002    0.000    0.018    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/core/request.py:280(_parse_uri)
      204    0.001    0.000    0.017    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/Image.py:3258(_open_core)
  406/267    0.000    0.000    0.016    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:479(__getitem__)
       61    0.000    0.000    0.016    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:972(parse)
2171/2168    0.001    0.000    0.016    0.000 {built-in method builtins.next}
       51    0.001    0.000    0.016    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/proglog/proglog.py:192(new_iterable)
       56    0.000    0.000    0.015    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/proglog/proglog.py:345(callback)
        4    0.000    0.000    0.015    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:719(write)
   226/61    0.001    0.000    0.015    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:449(_parse_sub)
       52    0.000    0.000    0.015    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/proglog/proglog.py:328(bars_callback)
      117    0.000    0.000    0.015    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:132(__enter__)
        8    0.000    0.000    0.015    0.002 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:728(external_write_mode)
   296/73    0.006    0.000    0.015    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:509(_parse)
        1    0.007    0.007    0.015    0.015 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_websocket.py:124(<listcomp>)
        8    0.014    0.002    0.014    0.002 {built-in method _posixsubprocess.fork_exec}
      204    0.001    0.000    0.014    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/ImageFile.py:88(__init__)
      593    0.003    0.000    0.014    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1353(__init__)
       50    0.014    0.000    0.014    0.000 {method 'to_pybytes' of 'ray._raylet.Buffer' objects}
        1    0.000    0.000    0.014    0.014 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/grpc/_compression.py:1(<module>)
        5    0.000    0.000    0.014    0.003 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:763(get_lock)
      878    0.004    0.000    0.014    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/PngImagePlugin.py:155(read)
      232    0.001    0.000    0.014    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:794(reducer_override)
      100    0.002    0.000    0.014    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:415(_serialize_to_pickle5)
      903    0.005    0.000    0.013    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:596(get_serialization_context)
      599    0.000    0.000    0.013    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:331(__init__)
        1    0.000    0.000    0.013    0.013 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:90(__init__)
      599    0.002    0.000    0.013    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:334(_init)
        1    0.000    0.000    0.013    0.013 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:116(create_mp_lock)
      252    0.001    0.000    0.013    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:658(Union)
        1    0.000    0.000    0.013    0.013 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:70(RLock)
      239    0.013    0.000    0.013    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.013    0.013 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1297(start_monitor)
      138    0.000    0.000    0.012    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:298(_compile_and_eval)
      204    0.002    0.000    0.012    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/PngImagePlugin.py:702(_open)
       50    0.001    0.000    0.012    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:1199(update)
        1    0.000    0.000    0.012    0.012 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1229(start_raylet)
        1    0.000    0.000    0.012    0.012 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_middlewares.py:1(<module>)
        1    0.000    0.000    0.012    0.012 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:1965(start_monitor)
       26    0.000    0.000    0.012    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:1326(refresh)
