         313219 function calls (308076 primitive calls) in 21.950 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    37/27    0.000    0.000    0.400    0.015 {built-in method builtins.__import__}
   202/95    0.000    0.000    0.397    0.004 <frozen importlib._bootstrap>:1207(_handle_fromlist)
       42    0.000    0.000    0.378    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/util/tracing/tracing_helper.py:297(_invocation_remote_span)
       42    0.003    0.000    0.378    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/remote_function.py:255(_remote)
       15    0.000    0.000    0.371    0.025 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/io/ImageSequenceClip.py:114(make_frame)
       15    0.000    0.000    0.355    0.024 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/Clip.py:442(iter_frames)
       14    0.000    0.000    0.348    0.025 <decorator-gen-11>:1(get_frame)
       14    0.000    0.000    0.348    0.025 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/decorators.py:78(wrapper)
       14    0.000    0.000    0.348    0.025 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/Clip.py:77(get_frame)
       42    0.001    0.000    0.333    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/remote_function.py:397(invocation)
       42    0.310    0.007    0.329    0.008 {method 'submit_task' of 'ray._raylet.CoreWorker' objects}
        1    0.000    0.000    0.314    0.314 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:430(wait_for_node)
        1    0.000    0.000    0.277    0.277 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/__init__.py:1(<module>)
        1    0.000    0.000    0.257    0.257 /Users/armaan/Desktop/Fall-2023 Classes/Cloud-Computing/ECE-465-Cloud-Computing/ray_cluster_mandelbrot_solver/src/helpers.py:74(<listcomp>)
        8    0.000    0.000    0.255    0.032 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:674(get_gcs_client)
        1    0.255    0.255    0.255    0.255 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:679(_init_gcs_client)
        1    0.000    0.000    0.203    0.203 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/client.py:1(<module>)
    34/12    0.000    0.000    0.182    0.015 <frozen importlib._bootstrap_external>:1239(exec_module)
    34/12    0.074    0.002    0.182    0.015 {built-in method _imp.exec_dynamic}
  171/170    0.000    0.000    0.149    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
       34    0.000    0.000    0.143    0.004 <frozen importlib._bootstrap_external>:1231(create_module)
       34    0.141    0.004    0.142    0.004 {built-in method _imp.create_dynamic}
      606    0.008    0.000    0.120    0.000 {built-in method builtins.__build_class__}
       14    0.000    0.000    0.109    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/moviepy/video/io/ffmpeg_writer.py:132(write_frame)
2343/2204    0.005    0.000    0.108    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:352(inner)
       14    0.101    0.007    0.101    0.007 {method 'write' of '_io.BufferedWriter' objects}
      137    0.002    0.000    0.100    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
  406/267    0.000    0.000    0.088    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:479(__getitem__)
      239    0.084    0.000    0.084    0.000 {built-in method builtins.compile}
